This file was created by CMPT_ME_PRIOR_RETS using the 202111 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
Mom    is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -12 to - 2.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
  1931,  23.81
  1932, -21.75
  1933,  19.06
  1934,  18.59
  1935,  24.74
  1936,   5.84
  1937,  -4.50
  1938,  -2.63
  1939,   0.20
  1940,   5.57
  1941,   9.23
  1942, -15.35
  1943,  14.73
  1944,  10.62
  1945,  15.10
  1946,   5.55
  1947,  14.35
  1948,  11.65
  1949,   0.65
  1950,  15.69
  1951,  11.66
  1952,   9.12
  1953,  16.22
  1954,  10.21
  1955,  13.90
  1956,  19.16
  1957,   9.91
  1958,  -9.75
  1959,  19.59
  1960,  17.24
  1961,  11.35
  1962,  12.11
  1963,  11.74
  1964,   4.29
  1965,  20.80
  1966,  10.31
  1967,  22.69
  1968,   2.24
  1969,   9.98
  1970,  -3.91
  1971,   3.81
  1972,  15.22
  1973,  29.48
  1974,   8.22
  1975, -18.88
  1976,   7.41
  1977,  17.70
  1978,  11.90
  1979,  26.55
  1980,  37.13
  1981,  -8.25
  1982,  34.73
  1983,  -9.84
  1984,   8.88
  1985,  14.69
  1986,  10.42
  1987,  -3.53
  1988,  -5.06
  1989,  27.73
  1990,  18.35
  1991,  14.56
  1992,   3.46
  1993,  23.72
  1994,   3.14
  1995,  18.07
  1996,   6.39
  1997,  11.50
  1998,  23.14
  1999,  35.18
  2000,  15.37
  2001,   4.43
  2002,  25.69
  2003, -24.48
  2004,  -0.42
  2005,  14.81
  2006,  -7.84
  2007,  22.06
  2008,  13.56
  2009, -83.16
  2010,   6.85
  2011,   7.16
  2012,   1.28
  2013,   7.50
  2014,   1.01
  2015,  20.62
  2016, -21.36
  2017,   4.62
  2018,   9.74
  2019,  -1.80
  2020,   7.78

Copyright 2021 Kenneth R. French
